IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
104.21.93.107,4,4,0.00,220.98,0.00,LAX
172.64.74.191,4,4,0.00,220.99,0.00,LAX
104.19.57.188,4,4,0.00,221.07,0.00,LAX
104.21.105.132,4,4,0.00,221.08,0.00,LAX
104.18.105.61,4,4,0.00,221.12,0.00,LAX
172.64.95.175,4,4,0.00,221.12,0.00,LAX
104.16.4.1,4,4,0.00,221.13,0.00,LAX
104.24.9.187,4,4,0.00,221.25,0.00,LAX
162.159.27.158,4,4,0.00,221.30,0.00,LAX
104.18.65.175,4,4,0.00,221.33,0.00,LAX
104.19.211.45,4,4,0.00,221.37,0.00,LAX
162.159.38.129,4,4,0.00,221.39,0.00,LAX
104.17.141.251,4,4,0.00,221.40,0.00,LAX
104.18.66.32,4,4,0.00,221.42,0.00,LAX
104.17.102.93,4,4,0.00,221.44,0.00,LAX
162.159.244.116,4,4,0.00,221.48,0.00,LAX
162.159.241.130,4,4,0.00,221.56,0.00,LAX
172.67.238.67,4,4,0.00,221.64,0.00,LAX
104.25.126.52,4,4,0.00,221.68,0.00,LAX
104.17.121.194,4,4,0.00,221.69,0.00,LAX
104.19.214.43,4,4,0.00,221.69,0.00,LAX
104.24.192.214,4,4,0.00,221.74,0.00,LAX
104.27.36.125,4,4,0.00,221.79,0.00,LAX
104.24.142.168,4,4,0.00,221.84,0.00,LAX
172.67.240.138,4,4,0.00,221.85,0.00,LAX
104.24.203.68,4,4,0.00,221.89,0.00,LAX
172.66.209.9,4,4,0.00,221.89,0.00,SJC
104.25.140.172,4,4,0.00,221.92,0.00,LAX
104.16.190.34,4,4,0.00,221.94,0.00,LAX
104.18.106.32,4,4,0.00,222.01,0.00,LAX
172.67.139.23,4,4,0.00,222.05,0.00,LAX
104.24.198.211,4,4,0.00,222.06,0.00,LAX
172.67.158.233,4,4,0.00,222.15,0.00,LAX
162.159.240.31,4,4,0.00,222.31,0.00,LAX
104.17.129.75,4,4,0.00,222.31,0.00,LAX
104.25.79.157,4,4,0.00,222.39,0.00,LAX
104.19.221.221,4,4,0.00,222.39,0.00,LAX
172.64.90.35,4,4,0.00,222.46,0.00,LAX
104.18.234.165,4,4,0.00,222.52,0.00,LAX
190.93.244.64,4,4,0.00,222.55,0.00,LAX
104.25.116.200,4,4,0.00,222.62,0.00,LAX
104.19.1.89,4,4,0.00,222.63,0.00,LAX
104.19.202.144,4,4,0.00,222.65,0.00,LAX
104.27.19.169,4,4,0.00,222.73,0.00,LAX
162.159.248.119,4,4,0.00,222.76,0.00,LAX
104.24.200.68,4,4,0.00,222.76,0.00,LAX
172.67.253.210,4,4,0.00,222.81,0.00,LAX
104.19.18.225,4,4,0.00,222.86,0.00,LAX
104.19.206.238,4,4,0.00,222.87,0.00,LAX
104.25.120.91,4,4,0.00,222.88,0.00,LAX
104.16.165.26,4,4,0.00,222.94,0.00,LAX
162.159.232.203,4,4,0.00,222.96,0.00,LAX
172.67.219.132,4,4,0.00,222.97,0.00,LAX
104.20.6.33,4,4,0.00,223.00,0.00,LAX
104.25.129.124,4,4,0.00,223.00,0.00,LAX
172.67.221.155,4,4,0.00,223.06,0.00,LAX
104.27.193.243,4,4,0.00,223.18,0.00,LAX
162.159.242.245,4,4,0.00,223.21,0.00,LAX
104.24.172.170,4,4,0.00,223.34,0.00,LAX
104.18.103.167,4,4,0.00,223.60,0.00,LAX
172.67.237.131,4,4,0.00,223.67,0.00,LAX
104.17.150.27,4,4,0.00,223.68,0.00,LAX
104.19.198.47,4,4,0.00,223.69,0.00,LAX
162.159.21.14,4,4,0.00,223.73,0.00,LAX
162.159.229.19,4,4,0.00,223.75,0.00,LAX
104.24.165.22,4,4,0.00,223.92,0.00,LAX
104.18.88.18,4,4,0.00,223.93,0.00,LAX
172.66.217.220,4,4,0.00,224.00,0.00,LAX
104.21.115.76,4,4,0.00,224.02,0.00,LAX
104.27.37.17,4,4,0.00,224.16,0.00,LAX
172.64.176.125,4,4,0.00,224.25,0.00,LAX
162.159.249.194,4,4,0.00,224.30,0.00,LAX
104.19.207.135,4,4,0.00,224.30,0.00,LAX
104.19.226.114,4,4,0.00,224.45,0.00,LAX
104.25.128.64,4,4,0.00,224.48,0.00,LAX
